name,operator,city,country,lat,lon,geo_precision,status,note,source,url
Applied Digital Delta Forge 1,Applied Digital,"Boyce, LA (Rapides Parish)",US,31.393200,-92.667900,town,construction,"$3.6B AI factory campus on ~300 acres near I-49 south of Boyce. Two initial buildings / 300 MW. Announced by Governor Landry May 26, 2026; site prep began Jan 2026; operations expected mid-2027. Powered by Cleco. 200 permanent jobs ($90K avg) + 1,000 peak construction jobs. Closed-loop water system. $575.5M committed to Rapides Parish taxing bodies over 27-year agreement.",Louisiana Economic Development; KALB; WBRZ; BIC Magazine; Biz New Orleans (May 2026),https://www.brockovichdatacenter.com/
DCIP DeSoto County AI Campus,DCIP Group,"DeSoto County, FL (Arcadia area)",US,27.183600,-81.826800,town,proposed,"Proposed 1,300-acre / 4,000 MW AI data center campus at a decommissioned power plant site, powered by natural gas via Florida Gas Transmission Pipeline (off-grid). County rezoned initial 34 acres March 2026; developers seeking expansion to 825+ acres. Would be one of the largest data center complexes in the U.S. Significant community opposition over water use, noise, and greenhouse gas emissions.",WGCU; MySuncoast; Bradenton Journal; WINKNews; Data Centers Daily Notes (May 2026),https://www.brockovichdatacenter.com/
CloudBurst Comal County,CloudBurst Data Centers + Evolve Holdings,"New Braunfels, TX (Comal Co)",US,29.730000,-98.080000,town,construction,1.2 GW master-planned campus in the San Marcos/New Braunfels corridor. Broke ground late 2025. First 50 MW phase online Q4 2026. Powered by on-site natural gas via Energy Transfer's Oasis Pipeline. Joint venture between CloudBurst and Evolve Holdings.,Data Center Dynamics; CloudBurst press (2025–2026),https://www.brockovichdatacenter.com/
Nexus Hubbard Campus,Nexus Data Centers,"Hubbard, TX (Hill Co)",US,31.846000,-96.795000,town,construction,"600 MW initial / 7.7 GW eventual build-out on 2,000 acres between Hwy 171 and CR 3369. Behind-the-meter natural gas. First phase operational 2H 2026. Partnership with AirJoule for atmospheric water harvesting to reduce freshwater draw.",DCD; Nexus press (2026),https://www.brockovichdatacenter.com/
Prime AUS01 / AUS02 (Lockhart),Prime Data Centers,"Lockhart, TX (Caldwell Co)",US,29.884000,-97.670000,town,construction,"$400M / two 380,000 sq ft data centers at 1395 Bob White Road near Austin. Project Snow (206-acre site). Construction starting June 2026; targeted completion September 2027.",DCD; Prime Data Centers; Baxtel (May 2026),https://www.brockovichdatacenter.com/
IREN Sweetwater,IREN + Nvidia,"Sweetwater, TX (Nolan Co)",US,32.471000,-100.406000,town,construction,"2,200-acre campus (Sweetwater 1 & 2) with 2 GW capacity — enough for 700,000+ liquid-cooled GPUs. Nvidia announced $2.1B strategic partnership (5-yr warrant on 30M shares) in May 2026. Flagship NVIDIA DSX architecture deployment. Sweetwater 1 substation energization targeted 2026; full 2 GW build-out through 2028+.",Nvidia newsroom; IREN press; HPCwire; GlobeNewswire (May 2026),https://www.brockovichdatacenter.com/
LightHouse CLT01 / CHS01,LightHouse Data Centers (Wharton Digital),"Charlotte, NC area",US,35.227100,-80.843100,town,construction,"New platform launched by Wharton Digital with a 2+ GW pipeline. CLT01 and CLT02 targeting Charlotte metro; CHS01 targeting Charleston, SC. First phases delivering 2026. Backed by Wharton Digital infrastructure fund.",DCD; LightHouse launch announcement (June 2026),https://www.brockovichdatacenter.com/
Takanock Project Baccara,Takanock,"Goodyear, AZ (near Luke AFB)",US,33.505000,-112.400000,town,proposed,"~160-acre site at West Olive Ave & N. Bullard Ave, north of Luke Air Force Base. Two two-story data halls (~1M sq ft each) plus 700 MW on-site natural gas generation (18 units / ~23.7 acres). Construction targeted Q3 2026; first data center online Q1 2028; second Q1 2030. 1,000 construction jobs, 200 permanent.",DCD; AZBEX; Hoodline (Jan–June 2026),https://www.brockovichdatacenter.com/
QTS Van Wert,QTS Data Centers (Blackstone),"Van Wert, OH",US,40.855000,-84.555000,town,proposed,"$10B campus announced May 2026 on a 1,500-acre Marsh Foundation 'mega site' between US-30, Gilliland Rd and Marsh Rd. Up to 7 buildings across ~902 acres. Powered by American Electric Power (QTS funding 100% of energy infrastructure); closed-loop, no-water cooling. ~200 permanent jobs, 1,500 construction jobs, ~$200M projected tax revenue over 20 yrs. Community event set for June 11, 2026.","Data Center Dynamics (Jun 2, 2026); Toledo Blade; Lima News; WANE 15",https://www.brockovichdatacenter.com/
AWS Louisiana (Caddo/Bossier),Amazon,"Shreveport area, LA",US,32.634000,-93.821000,town,construction,"$12B dual-campus investment in northwest Louisiana. Two campuses spanning Caddo Parish (near Blanchard) and Bossier Parish (near Benton). Developed by STACK Infrastructure. 540 full-time jobs + 1,500 construction jobs. Construction began March 2026.",Louisiana Economic Development; KSLA; Construction Dive; DCD (Feb 2026),https://www.brockovichdatacenter.com/
Meta Lebanon,Meta,"Lebanon, IN (Boone Co)",US,40.050000,-86.550000,town,construction,"$10B / 1 GW / 1,437-acre campus at the LEAP district, west of I-65 along SR 32 in Boone County. 13 buildings / 4M sq ft. Broke ground Feb 11, 2026. First buildings online by end of 2027. Meta's 27th U.S. data center.",Meta Data Centers; Indiana Capital Chronicle; IBJ; DCD (Feb 2026),https://www.brockovichdatacenter.com/
Meta Beaver Dam,Meta,"Beaver Dam, WI (Dodge Co)",US,43.470000,-88.810000,town,construction,"$1B+ / 700,000 sq ft AI-optimized campus at Alliant Energy's Beaver Dam Commerce Park, ~40 miles NE of Madison. Broke ground Nov 12, 2025. Online 2027. Dry-cooling; 570 acres of wetland/prairie restoration with Ducks Unlimited. Meta's 26th U.S. data center.",Meta Data Centers; ENR; DCD; WEDC (Nov 2025),https://www.brockovichdatacenter.com/
Meta Tulsa,Meta,"Tulsa, OK",US,36.140000,-95.875000,town,construction,"$1B+ / 2M sq ft AI campus (Project Anthem) at Fair Oaks industrial park in East Tulsa, 340-acre parcel at 11th St & Creek Turnpike. Broke ground Apr 2026; completion targeted 2028. Meta's first Oklahoma data center (28th U.S., 32nd global).",Meta Data Centers; Oklahoma Dept. of Commerce; DCD; about.fb.com (Apr 2026),https://www.brockovichdatacenter.com/
Google Project BOSC (Lima),Google,"American Township, OH (Allen Co)",US,40.760000,-84.065000,town,construction,"$500M / 300+ acre campus at N Cole St & W Bluelick Rd in American Township, Allen County (near Lima). Construction begins 2026; targeted completion ~2030.",DCD; Lima News; hometownstations.com (Mar 2026),https://www.brockovichdatacenter.com/
Google Project Mica (Kansas City),Google,"Kansas City, MO (Northland)",US,39.210000,-94.550000,town,construction,"$10B / ~500 acres / 700 MW / 5 hyperscale buildings (1.56M sq ft) in KC Northland, NE of I-435 and US-169. Confirmed Feb 2026; construction underway May 2026. Powered by adjacent Nashua Power Station.",KCTV5; Axios KC; DCD; Construction Owners Association (Feb–May 2026),https://www.brockovichdatacenter.com/
Google Putnam County,Google,"Buffalo, WV (Putnam Co)",US,38.520000,-81.970000,town,proposed,"1,700 acres purchased Mar 2026 at 22272 Charleston Road (Rt 62) near Buffalo, WV. Multibillion-dollar campus; early planning stage. Approved as 'High Impact Development Project' by Gov. Morrisey. Google committed to 100% renewable power and 120% water treatment.",WV Governor's Office; West Virginia Watch; DCD; WV MetroNews (Mar 2026),https://www.brockovichdatacenter.com/
Google Project Skyway (Pine Island),Google,"Pine Island, MN (Goodhue Co)",US,44.200000,-92.650000,town,construction,"250,000 sq ft / 88-acre data center at 500th St & Hwy 52 in Pine Island, ~70 miles SE of Minneapolis. Announced Feb 2026 with Xcel Energy partnership (solar, wind, battery storage). Construction to begin before end of 2026.",Google blog; Star Tribune; MPR News; CNBC (Feb 2026),https://www.brockovichdatacenter.com/
Google Project Spring (Sand Springs),Google,"Sand Springs, OK",US,36.160000,-96.180000,town,proposed,"827-acre campus at 5615 OK-97, ~8 miles west of downtown Tulsa. Part of Google's $9B Oklahoma investment. Up to 3 buildings; developed by White Rose Partners. Rezoning approved by Sand Springs City Council Feb 2026 (amid community backlash/recall effort). Construction targeted 2027; completion 2029.",DCD; Tulsa Flyer; Public Radio Tulsa; Newson6 (Jan–Feb 2026),https://www.brockovichdatacenter.com/
CyrusOne Freestone County,CyrusOne + Constellation (Calpine),"Freestone County, TX",US,31.723500,-96.155300,town,construction,"760 MW / 506-acre campus adjacent to Calpine's Freestone Energy Center natural gas plant, ~80 miles SE of Dallas. Phase 1: 380 MW (groundbreaking June 4, 2026; online late 2026). Phase 2: additional 380 MW. Powered directly from co-located gas plant. Community concerns over economic vs. rural burden.",Constellation/CyrusOne press (Feb 2026); DCD; Freestone County Times; FCRecorder (Jun 2026),https://www.brockovichdatacenter.com/
PowerHouse Caldwell Valley,PowerHouse Data Centers (American Real Estate Partners),"Uhland, TX (Caldwell Co)",US,29.922400,-97.789500,town,proposed,"~500-acre campus at Caldwell Valley Technology Park, a 3,600-acre master-planned site 25 miles south of Austin. PowerHouse filed to remove site from Uhland's jurisdiction and build under Caldwell County authority amid substantial resident pushback. Reclaimed water planned. No formal approval yet.",DCD; Baxtel; Bisnow Austin; KVUE (May 2026),https://www.brockovichdatacenter.com/
RB Inyokern Data Center,"R&L Capital, Inc.","Inyokern, CA (Kern Co)",US,35.652700,-117.828600,town,proposed,"99 MW / 238,000 sq ft AI-ready campus on 50 acres near US-395 & SR-178. 40 diesel generator sets (3 MW each) for backup power — sized just under the 100 MW CEC threshold. Developer estimates 12–16M gallons/year from the already-stressed Indian Wells Valley groundwater basin; independent estimates reach 1,822 acre-feet/year. CEC application filed April 20, 2026; 150+ public comments submitted amid strong community opposition over water, noise, and air quality.",California Energy Commission docket; KGET; South Kern Sol; KVPR; Roadrunner395; Somach Law (Apr–May 2026),https://www.brockovichdatacenter.com/
SoftBank / Foxconn Stargate Lordstown,SoftBank + Foxconn,"Lordstown, OH (Trumbull Co)",US,41.162000,-80.854000,town,construction,SoftBank acquired former Foxconn EV plant (6.2M sq ft) at 2300 Hallock Young Rd for $375M in Aug 2025. Converting portion to AI data center hall for Stargate; remainder is AI server manufacturing JV with Foxconn. Targeted operational 2026. One of Stargate's five original U.S. sites.,DCD; WFMJ; TechCrunch; Tom's Hardware; Business Journal Daily (Aug 2025–2026),https://www.brockovichdatacenter.com/
Microsoft La Porte,Microsoft,"La Porte, IN",US,41.611400,-86.716900,town,construction,"$1B+ investment at Radius Industrial Park. First phase: 245,000 sq ft / six data centers + substation on 489 acres; a May 2026 annexation nearly tripled the site by adding ~1,200 acres, with plans for 17 buildings total. Broke ground June 17, 2026 (Vice Chair Brad Smith attended). 600+ permanent jobs. Paired with a new Microsoft Datacenter Academy at Ivy Tech Community College. Site prep began March 2026; construction through 2027; initial completion 2029.",Data Center Dynamics; Microsoft Local blog; ABC57; NWI Business Magazine (Jun 2026),https://www.brockovichdatacenter.com/
Global Stack Calistoga Fairgrounds,Global Stack LLC,"Calistoga, CA (Napa Co)",US,38.585000,-122.582000,town,proposed,"~10 MW edge data center proposed for the city-owned Calistoga Fairgrounds, combined with a 3-story parking garage topped by a rooftop eVTOL (electric air-taxi) landing pad. Presented to the Fairgrounds Advisory Committee June 25, 2026 by Global Stack LLC, a startup founded in March 2026 pitching similar projects at 70+ California fairgrounds (including SF's Cow Palace and Solano County). Drew a packed, strongly opposed crowd over water, noise, and electricity concerns. No approval yet.",Data Center Dynamics; Press Democrat; KTVU; CBS San Francisco (Jun 2026),https://www.brockovichdatacenter.com/
Project Kilby (Chevron / Microsoft),Chevron + Microsoft,"Pecos, TX (Reeves/Ward Co)",US,31.446700,-103.579100,town,proposed,"Chevron subsidiary Energy Forge One signed a 20-year behind-the-meter power agreement with Microsoft to build a co-located gas-fired power facility (~2.67 GW, phased) serving a new West Texas AI data center campus. Multibillion-dollar investment over 5–7 years; initial power targeted for 2028. Designed for minimal water use via brackish/produced water.","Chevron newsroom (Jun 22, 2026); Data Center Dynamics; Data Center Knowledge; Redmondmag",https://www.brockovichdatacenter.com/
Digital Realty Astra Enterprise Park,Digital Realty,"De Soto, KS (Johnson Co)",US,38.946200,-94.971400,town,proposed,"Digital Realty acquired ~1,440 acres at Astra Enterprise Park for ~$475M to enter the Kansas City metro. First phase 'Astra North' (~280 acres, up to 9 buildings, ~3M sq ft) backed by an energy service agreement for 600 MW of utility power by early 2028, rising to 2 GW at full build-out.","Digital Realty investor release (Jun 22, 2026); Data Center Dynamics; StockTitan",https://www.brockovichdatacenter.com/
Prime Phoenix (Avondale),Prime Data Centers,"Avondale, AZ (Maricopa Co)",US,33.432100,-112.343800,town,construction,"Broke ground May 21, 2026 on the first 3 of 5 buildings in a 66.5-acre, 240 MW, $3B+ campus (1.3M sq ft total). Buildings 1–3 already secured by a hyperscaler tenant. Uses a closed-loop cooling system engineered for zero process water use during operations.","Prime Data Centers newsroom; Business Wire; Data Center Dynamics (May 21, 2026)",https://www.brockovichdatacenter.com/
OpenAI Project Camellia,OpenAI,"Effingham County, GA (Rincon)",US,32.296500,-81.235400,town,proposed,"$20–30B, 3.2 GW data center campus — four buildings across ~101 acres within the 2,600-acre Savannah Gateway Industrial Hub, 12 miles from the Port of Savannah. Georgia Power to deliver power in phases 2028–2032. Closed-loop water cooling planned to avoid diverting local water supplies. Announced Jul 22, 2026; drawn local opposition.",Georgia Public Broadcasting; AJC; Data Center Dynamics; TechRadar (Jul 2026),https://www.brockovichdatacenter.com/
Antelope Data Center,Pronghorn Development,"Iron County, UT (west of Cedar City)",US,37.685000,-113.170000,town,proposed,"640-acre, ~$30B campus along Antelope Spring Road — 5 data hall buildings (~1.35M sq ft total), 1,500 MW capacity, with a dedicated on-site natural gas power station. Iron County Planning Commission approved the conditional use permit Jun 2026 after months of public hearings; no construction start confirmed yet.",Salt Lake Tribune; Data Center Dynamics; ABC4 Utah (Jun 2026),https://www.brockovichdatacenter.com/
Crusoe Callaway County,Crusoe,"Callaway County, MO (Kingdom City area)",US,39.060000,-91.960000,town,proposed,"$4.5B, 200-acre campus off County Road 240 — two ~800,000 sq ft buildings, ~204 MW each, 500 MW campus cap. Billed as the largest private investment in county history; ~70 permanent jobs projected. Still in early planning; construction targeted fall 2026–summer 2028; county has not signed a contract yet.",ABC17 News; Fulton Sun; KRCG (Jun–Jul 2026),https://www.brockovichdatacenter.com/
